@SampleID:	cami_sample_0
@Version:	0.9.1
@Ranks:	superkingdom|phylum|class|order|family|genus|species
@ToolID:	viwrap
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2731619	class	|2731618|2731619||||	|Uroviricota|Caudoviricetes||||	48.428094
2731618	phylum	|2731618|2731619||||	|Uroviricota|Caudoviricetes||||	48.428094
3044455	family	|2731618|2731619||3044455||	|Uroviricota|Caudoviricetes||Aliceevansviridae||	0.200669
10860	family	|2732410|2732411|2732094|10860||	|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae||	0.267559
2732410	phylum	|2732410|2732411|2732094|10860||	|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae||	0.267559
2732411	class	|2732410|2732411|2732094|10860||	|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae||	0.267559
2732094	order	|2732410|2732411|2732094|10860||	|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae||	0.267559
10501	family	|2732007|2732523|2732524|10501||	|Nucleocytoviricota|Megaviricetes|Algavirales|Phycodnaviridae||	0.267559
2732007	phylum	|2732007|2732523|2732524|10501||	|Nucleocytoviricota|Megaviricetes|Algavirales|Phycodnaviridae||	0.334448
2732523	class	|2732007|2732523|2732524|10501||	|Nucleocytoviricota|Megaviricetes|Algavirales|Phycodnaviridae||	0.334448
2732524	order	|2732007|2732523|2732524|10501||	|Nucleocytoviricota|Megaviricetes|Algavirales|Phycodnaviridae||	0.267559
2842329	family	|2731618|2731619||2842329||	|Uroviricota|Caudoviricetes||Schitoviridae||	0.066890
2946160	family	|2731618|2731619|3420545|2946160||	|Uroviricota|Caudoviricetes|Pantevenvirales|Kyanoviridae||	0.133779
3420545	order	|2731618|2731619|3420545|2946160||	|Uroviricota|Caudoviricetes|Pantevenvirales|Kyanoviridae||	0.133779
549779	family	|2732007|2732523|2732554|549779||	|Nucleocytoviricota|Megaviricetes|Imitervirales|Mimiviridae||	0.066890
2732554	order	|2732007|2732523|2732554|549779||	|Nucleocytoviricota|Megaviricetes|Imitervirales|Mimiviridae||	0.066890
2560065	family	|2731618|2731619||2560065||	|Uroviricota|Caudoviricetes||Herelleviridae||	0.133779
2731643	family	|2731618|2731619||2731643||	|Uroviricota|Caudoviricetes||Autographiviridae||	0.066890
